Age,Usedfor,Date,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,SidesEffects,UsefulCount,,Sentiment,Topic Discussion
35-44,High Blood Pressure,6/17/2008,AmoxID1,5,2,"I immediately had an irritating, never ending cough.  My neck has ached since I started taking it, also.  Yesterday, I made the decision that I would prefer HBP to what I've been feeling.  Achy and flu like.  Going to try something else, hopefully without the same side effects.",1,Female,,15,,,
65-74,High Blood Pressure,6/17/2008,AmoxID1,5,4, ,4,Male,,4,,,
65-74,High Blood Pressure,6/16/2008,AmoxID1,5,3,"can AmoxID1 cause headaches if taken in high doses?
",4,Female,,2,,,
55-64,High Blood Pressure,6/16/2008,AmoxID1,5,3,"I have been on AmoxID1 10mg every morning for about one month.  Just recently got a refill for another month supply.  Noticed generalized itching over all my body and tingling sensation around my lips.  Feels like ants crawling over my body!  Did not connect symptoms with AmoxID1 until today and reading the previous posts from others who have experienced similar symptoms. Also having muscle aches, leg cramps etc.  Called my insurance company and spoke with a nurse -- sounds like a typical allergic reaction -- why it did not surface and become more severe prior to this is a mystery to me, but I know I won't be taking any more of this medication or any other ACE inhibitor!  The itching is horrific!",2,Female,,12,,,
65-74,High Blood Pressure,6/16/2008,AmoxID1,5,3,"Was taking Coreg for elevated BP and because I had a stroke in a vein in my eye, but it wasn't lowering it enough-then added 10mg of Lisinoprol daily, which helped. My blood pressure was around 145 /90 with a pulse of 80-83.  In retrospect, I should have known something was wrong, but I have such bad airborn allergies that it didn't occur to me that the horrible coughing spells could be caused by something else. And, all I want to do is sleep. The headaches were so random that I thought it was because of my allergies.  We even bought two large room air cleaners for our bedroom and living room!  The urine leakage has been a nightmare,but I thought it was because of my age--my gynocologist suggested exercises to strengthen my abdominal muscles! Getting to sleep is hard and then the coughing wakes me up--so I thought that was what was causing me to feel tired all of the time. Lack of sleep. Because of an accident, I have been having physical therapy--and got seriously winded after only 6 minutes on the stationary bike.  If I bend over for too long I get so nauseated that I have to sit for awhile 'til it passes.  Today was my three months check-up with my Dr.and told him how I felt and that I had a cough that I couldn't shake, a weight on my chest, lethargy and that I felt overall terrible. That my mouth gets so dry at night, that I wake up gagging, if I'm not coughing! He stopped the lisenoprol--and I finally looked it up when I got home and found this site. I am in shock! I should have read the material more thoroughly when I first got the prescription. This is a lesson I won't have to learn twice! I have also had another stroke in my eye a week ago!  My doctor feels badly
but all I want is to feel like my old self, the sooner the better. I am only 15 pounds overweight and 65 years old--but I feel 100 right now and depressed.  ",1,Female,,14,,,
19-24,High Blood Pressure,6/15/2008,AmoxID1,4,4,Caused a HIGH amount of fatigue,2,Male,,9,,,
 ,High Blood Pressure,6/10/2008,AmoxID1,5,5,very easy to take and it took only one week to work bp runs 125/82 were as it use to run 160/115,4, ,,9,,,
35-44,High Blood Pressure,6/10/2008,AmoxID1,5,5, ,4,Male,,4,,,
 ,High Blood Pressure,6/9/2008,AmoxID1,3,3,"experienced severe neck pain after 6 weeks 
usuage of 20 mg once a day.  Reduced to 1/2
dose and had no neck pain and good blood pressure control.  average 110/69",2,Female,,10,,,
65-74,High Blood Pressure,6/6/2008,AmoxID1,2,.,muscle weakness,1,Female,,7,,,
55-64,High Blood Pressure,6/5/2008,AmoxID1,5,2,"Took AmoxID1 several years ago and had a cough that wouldn't quit. My Dr at that time told me it was all in my head. Needless to say I quit taking it. I also found a new Dr. Did not need anything for HTN for several years. Started back on AmoxID1 this year. Cough returned and my current Dr told me that this is not a symptom that goes away, so we switched to another drug. I even had family & co-workers asking me to do something about my cough!  ",1,Female,,14,,,
45-54,High Blood Pressure,6/4/2008,AmoxID1,5,4,"I RECENTLY RAN ACROSS AN ARTICLE IN THE NEWSPAPER THAN A SIDE EFFECT OF THIS MEDICATION IS HAIR LOSS,WHICH HAS BEEN HAPPENING TO ME FOR YEARS AND I DIDN'T KNOW THE REASON. IS THIS ONE OF THE SIDE EFFECTS AND WHAT SHOULD I DO?",4,Female,,33,,,
55-64,High Blood Pressure,6/4/2008,AmoxID1,5,5, ,5,Female,,7,,,
75 or over,High Blood Pressure,6/4/2008,AmoxID1,5,2,was not lowering b.p. another rx was added,1,Female,,4,,,
55-64,High Blood Pressure,6/3/2008,AmoxID1,5,4,"I do not take the AmoxID1 Oral, I AmoxID1 pills 10mg. It controls my blood pressure very well",5,Female,,3,,,
55-64,High Blood Pressure,6/2/2008,AmoxID1,3,5,"Quit smoking in '07 gained a little weight, started taking 20mg in Dec '07, gained 20+ lbs since DEC. '07 Blood pressure is a little low, have fatigue Does this med cause weight gain????????????",1,Female,,4,,,
55-64,High Blood Pressure,6/2/2008,AmoxID1,4,4,"Have been on this for 5-10 yrs and have had two different mfg in the last six months.  Insurance company just sent mfg. (Sandoz) and Have notice that my ankles are swollen, and sometimes out of breath.  I feel there is a difference with different generic medications.  Has anyone else experienced this?",2,Female,,16,,,
35-44,High Blood Pressure,6/2/2008,AmoxID1,4,4,having trouble getting an erection and or keeping one,1,Male,,10,,,
55-64,High Blood Pressure,6/2/2008,AmoxID1,3,4, ,3,Male,,2,,,
55-64,High Blood Pressure,6/2/2008,AmoxID1,5,5,"   When I started I was on Altice, however my insurance increased co-pay. I was then switche to Accupril, howevery insurance increased the co-pay 7 i switched to Quinapril. I switched insurance programs and the co-pay went increased. So mmy doctor put me on AmoxID1 anout a year ago. I have had no side effects with any of these drugs. ",5,Male,,7,,,
45-54,High Blood Pressure,6/1/2008,AmoxID1,5,4,"This drug gave me a cough that would take my breath away and cause me to barf. The cough lasted for six weeks after I stopped taking it.  It did lower my bp, but the cough was unbearable.   ",1,Female,,18,,,
45-54,High Blood Pressure,5/31/2008,AmoxID1,3,3,I cannot tell any difference.,3,Female,,6,,,
35-44,High Blood Pressure,5/31/2008,AmoxID1,5,5,"I USE AmoxID1 FOR HB.IT REALLY HELP WITH THE HB PROBLEM,I HAVE BEEN ON AmoxID1 FOR ABOUT 2 YEARS.THE ONLY THING THAT I DONT LIKE ABOUT IT IS THAT YOU CANT STAY IN THE SUN FOR VERY LONG.",3,Female,,11,,,
45-54,High Blood Pressure,5/29/2008,AmoxID1,5,4,"BP sometimes still goes up to 140/90 in the evening, but it was 189/98 before I started this med. It usually stays under 120/80 with this med. While I sleep, it can drop to 103/58 I take this med. in the morning. It makes me feel tired, but I'm much calmer than I used to be. I have a slight dry cough off and on, but it's not a big problem. I do notice that my mouth gets very dry, and I have to use the bathroom a lot more than I used too. I take 10mg once a day.",4,Female,,21,,,
55-64,High Blood Pressure,5/29/2008,AmoxID1,5,4,"'07 Age 56, 70lbs overweight, BP 180/95  
'08 Age 57, 40lbs overweight, BP 118/78  

I take 10mg with a meal and a full glass of water.  I was surprised that using this medication and losing 30lbs after 13 months was enough to bring my BP to normal.  At first I had muscle cramps in legs, feet & hands and some blurred vision, but after adding 45 minutes of walking and 15 minutes of stretching 4 days/wk most of the problems are at a tolerable level, and I feel much more energetic too.  During the rainy season, I check out exercise DVDâ€™s for â€œBaby Boomersâ€ from the library to keep up my exercise regimen.   

Dr. says if I lose another 20lbs he can lower the dosage which is incentive enough for me to add a modest diet to my regimen
I haven't felt this good in years...",4,Male,,20,,,
25-34,High Blood Pressure,5/28/2008,AmoxID1,4,4,"I WAS VERY SATISFIED WITH THIS DRUG UNTIL RECENTLY. I WAS ON AmoxID1 20/25 WITH HCTZ, WORKED GREAT. NOW I'VE BEEN SWITCH TO 20/12.5. THAT'S WHEN THE PROBLEMS BEGAN. I GET HOT THEN REALLY ITCHY, WHEN I SCRATCH OR RUB IT TURNS TO RED WELTS. I THOUGHT WAS FROM A FOOD OR SOMETHING. UNTIL I READ A POST THAT DESCRIBED EXACTLY WHAT I'M HAVING. THANKS FOR THESE REVIEWS! I'M GOING TO MY DOC ASAP.",3,Female,,15,,,
35-44,High Blood Pressure,5/25/2008,AmoxID1,4,1,"Please bare with me as I make my case about Lisinoprol>>>Five days ago my doctor represcribed Lisinoprol and increased my dosage to 20 mg. He also changed an anxiety medication to Xanax XR. My doctor suggestted I lose a few pounds so, I started following a strict diet, exercising, gardening, etc. After 5 days, I've GAINED 5 POUNDS. I was sick of looking at my weight increase (despite my efforts), so I started doing research on all the prescribed meds I'm taking. I started with the anxiety med. While taking regular Xanax (which is addictive, but I have peace in my life again), I didn't gain any additional weight. I started reflecting on my time gardening today. After about an hour of gardening, my legs were so weak I could bare stand up, I felt lightheaded, my body was weak and my ankles were swollen.  When searching for the side effects of Lisinoprol, I was so disturbed. I was experiencing up to five symptoms at any given time. Also, I've been leaking urine without a full bladder and/or not having to go to the bathroom. My blood pressure has been elevated for over 10 years, but my doctor have some explaining to do. The side effects of this drug are serious and may have caused me to begin having anxiety attacks; I began having them about 2 - 3 years ago around the same time my doctor first began prescribing this med. I'm learning to question my doctor not only about the benefits of a drug, but also the possible side effects. Doctor's make mistakes. There was a serious mistake in my medical records in which he had to write an addendum for. I DO NOT recommend this drug.",1,Female,,21,,,
55-64,High Blood Pressure,5/24/2008,AmoxID1,4,3,I Started taking medication 5 days ago,3,Female,,4,,,
45-54,Kidney Disease from Diabetes,4/25/2008,AmoxID1,4,3,Can this medication make it hard rto breathe if you are a smoker.,3,Female,,7,,,
75 or over,High Blood Pressure,4/24/2008,AmoxID1,5,1,"I have been taking AmoxID1 20mg once daily for 6 months to combat my blood pressue. It has not helped a bit, my BP still measures 175/110 on a good day. I am overweight by a good 100#'s, I have restricted my sodium intake to a no-salt added diet. Please advise me of ideas to relate to my phyisian.",1,Male,,7,,,
45-54,High Blood Pressure,5/24/2008,AmoxID1,5,4,"I was using Diovan & went into respiratory distress (also swelling of lips, face, neck & throat) and was then switched to 2-3 other drugs and now finally to AmoxID1 10mg for about a year.  Initially I had coughing during the day and night (not to the extreme where it kept me awake at night), but enough that I thought I had an allergy or common cold etc. and then after reading the information on this site I found that coughing is a common symptom with this drug.  I also had some muscle cramps in my feet and hands and some headaches too, but after including an hour of combined aerobics and stretching exercises 3-4 days/wk most of the symptoms have been reduced to the occasional headaches.  In a yearâ€™s time, I have lost about 35lbs, blood pressure & cholesterol levels are normal, and my doctor has recently lowered my dosage from 10 to 5mg.  
",3,Male,,33,,,
45-54,High Blood Pressure,5/24/2008,AmoxID1,5,4,"This med. gave me such a horrible cough, that I couldn't sleep, would gag and just about throw up.  Plus, the runny nose, sore throat and chest congestion.  Thought it was allergies at first, but I have never had allergies this bad.  Finally, remembered my husband tried to take this drug a few years back and it did him the same.  Wish I would of put two and two together sooner.  This has been a horrible experience!",1,Female,,22,,,
55-64,High Blood Pressure,5/23/2008,AmoxID1,1,1,"This drug nearly killed me.  Upon my very first dose - one pill - I went into anaphalytic shock and ended up in the chronic care unit for 9 days.  I was hospitalized for 2 weeks total.  My thoat and tongue were so swollen that my mouth could not contain my tongue.  I could not breathe and I was intubated to assist me.  Additionally, my stomach was pumped and I had to have a blood transfusion during my stay in the hospital.  It turned out that because I have lupus that I should never have been prescribed this medicine because it contains ACE inhibitors.",1,Female,,13,,,
35-44,Kidney Disease from Diabetes,5/23/2008,AmoxID1,1,5,dry cough very bad!,1,Female,,13,,,
